,train,source,dest,dist
82,GD ASN EXPRESS ,GONDA JN       ,ASANSOL JN     ,862
83,DBRT RAJDHANI E,DIBRUGARH TOWN ,NEW DELHI      ,2459
84,JBP GARIB RATH ,MUMBAI CST     ,JABALPUR       ,997
85,RMM TPTY EXP   ,RAMESWARAM     ,TIRUPATI       ,828
86,BUDHPURNIMA EXP,VARANASI JN    ,RAJGIR         ,410
87,HYDERABAD PASS ,AURANGABAD     ,HYDERABAD DECAN,582
88,MAO HAPA SUP EX,MADGAON        ,HAPA           ,1531
89,MLDT DGHA EXP  ,MALDA TOWN     ,DIGHA FLAG STN ,653
90,NED DD PASNGR  ,H SAHIB NANDED ,DAUND JN       ,586
91,DBRT RAJDHANI  ,NEW DELHI      ,DIBRUGARH TOWN ,2438
92,MAHUVA EXPRESS ,SURAT          ,MAHUVA JN      ,630
93,BPL JU PASS    ,BHOPAL  JN     ,JODHPUR JN     ,993
94,JAIPUR EXPRESS ,OKHA           ,JAIPUR         ,1056
95,TRIVNDRM RJDHNI,H NIZAMUDDIN   ,TRIVANDRUM CNTL,3149
96,MEWAR EXPRESS  ,UDAIPUR CITY   ,H NIZAMUDDIN   ,743
97,GWL INTERCITY  ,BHOPAL  JN     ,GWALIOR        ,485
98,PNBE BDTS EXP  ,PATNA JN       ,BANDRA TERMINUS,1845
99,DLI  SDAH EXP  ,DELHI          ,SEALDAH        ,1640
100,MAHANANDA EXP  ,DELHI          ,ALIPUR DUAR JN ,1651
101,JP JU SF EXP   ,JAIPUR         ,JODHPUR JN     ,313
102,SNSI HWH SUP EX,SAINAGAR SHIRDI,HOWRAH JN      ,1792
103,NGP SC SUP EXP ,NAGPUR         ,SECUNDERABAD JN,578
104,KOLKATA RAJDHNI,HOWRAH JN      ,NEW DELHI      ,1447
105,TCN CHENNAI EXP,TIRUCHENDUR    ,CHENNAI EGMORE ,779
106,CDG  INDB  EXP ,CHANDIGARH     ,INDORE JN BG   ,1141
107,MAS DURONTO EXP,MADURAI JN     ,CHENNAI CENTRAL,559
108,BPL INDB PASS  ,BHOPAL  JN     ,INDORE JN BG   ,263
109,KCG AK EXP     ,KACHEGUDA      ,AKOLA JN       ,514
110,BARMER AC EXP  ,YESVANTPUR JN  ,BARMER         ,2251
111,BSP HAPA  SF EX,BILASPUR JN    ,HAPA           ,1691
112,PVR TTKL FAREPA,MIRAJ JN       ,PANDHARPUR     ,137
113,AGNIBINA EXPRES,ASANSOL JN     ,HOWRAH JN      ,200
114,BHAVNAGAR EXP  ,BANDRA TERMINUS,BHAVNAGAR TRMUS,778
115,KCGGNT PASS    ,KACHEGUDA      ,GUNTUR JN      ,623
116,GKP INTERCITY  ,MANDUADIH      ,GORAKHPUR JN   ,235
117,PVR YPR SPECIAL,PANDHARPUR     ,YESVANTPUR JN  ,880
118,DLI HSX EXP    ,DELHI          ,HOSHIARPUR     ,402
119,DEE PORBNDR EXP,DELHI S ROHILLA,PORBANDAR      ,1392
120,TATA JAT EXP   ,TATANAGAR JN   ,JAMMU TAWI     ,2026
121,ALD LTT DURONTO,ALLAHABAD JN   ,LOKMANYATILAK T,1348
122,BE LKO ALD PASS,BAREILLY       ,PRAYAG         ,461
123,BKN DEE S F EXP,BIKANER JN     ,DELHI S ROHILLA,458
124,JAMMU GHY EXPRE,JAMMU TAWI     ,GUWAHATI       ,2431
125,BANGALORE PASSR,MYSORE JN      ,BANGALORE CY JN,139
126,SHRI SHAKTI EXP,SHMATA VD KATRA,NEW DELHI      ,655
127,DWR SUR PASSENG,DHARWAR        ,SOLAPUR JN     ,378
128,LTT RJPB EXP   ,LOKMANYATILAK T,RAJENDRANAGAR T,1697
129,LKO NDLS SPL   ,LUCKNOW NR     ,NEW DELHI      ,493
130,VSKP NS PASS   ,VISAKHAPATNAM  ,NARASAPUR      ,300
131,HUBLI PASS     ,VIJAYAWADA JN  ,HUBLI JN       ,693
132,ADI PNBE EXPRES,AHMEDABAD JN   ,PATNA JN       ,1671
133,GODAN EXPRESS  ,GORAKHPUR JN   ,LOKMANYATILAK T,1733
134,LICHCHAVI EXP  ,ANAND VIHAR TRM,SITAMARHI      ,1193
135,KCG  MAQ  EXP  ,KACHEGUDA      ,MANGALORE CNTL ,1532
136,VSKP QLN EXP   ,VISAKHAPATNAM  ,KOLLAM JN      ,1588
137,GONDWANA EXPRES,H NIZAMUDDIN   ,RAIGARH        ,1626
138,JUC NDLS EXPRES,JALANDHAR CITY ,NEW DELHI      ,439
139,AUG KR RAJ EXP ,MUMBAI CENTRAL ,H NIZAMUDDIN   ,1377
140,SC GARIB RATH  ,YESVANTPUR JN  ,SECUNDERABAD JN,688
141,NETRAVATI EXP  ,LOKMANYATILAK T,TRIVANDRUM CNTL,1804
142,SHARAVATI  EXP ,MYSORE JN      ,DADAR          ,1212
143,BE DLI PSNGR   ,BAREILLY       ,DELHI          ,274
144,JYG KOAA EXP   ,JAYNAGAR       ,KOLKATA        ,620
145,CHANDIGARH EXP ,INDORE JN BG   ,CHANDIGARH     ,1141
146,MYSORE PASS    ,BANGALORE CY JN,MYSORE JN      ,139
147,INDB INTERCITY ,KOTA JN        ,INDORE JN BG   ,433
148,AMH LTT EXP    ,AZAMGARH       ,LOKMANYATILAK T,1551
149,VSKP DURONTO  E,SECUNDERABAD JN,VISAKHAPATNAM  ,701
150,DLI UMB EXP    ,DELHI          ,AMBALA CANT JN ,262
151,INTER CITY EXP ,VISAKHAPATNAM  ,BHUBANESWAR    ,443
152,FZR INTERCITY  ,DELHI S ROHILLA,FIROZPUR CANT  ,383
153,KACHEGUDA EXP  ,MADURAI JN     ,KACHEGUDA      ,1293
154,SANGHA MITRA EX,PATNA JN       ,BANGALORE CY JN,2727
155,HWH RXL EXPRESS,HOWRAH JN      ,RAXAUL JN      ,699
156,UBL BZA PASSR  ,HUBLI JN       ,VIJAYAWADA JN  ,693
157,BBS PUNE EXP   ,BHUBANESWAR    ,PUNE JN        ,1703
158,GOUR EXPRESS   ,SEALDAH        ,MALDA TOWN     ,347
159,MUV NDLS S F EX,MANDUADIH      ,NEW DELHI      ,755
160,SRC  MAS AC EXP,SANTRAGACHI JN ,CHENNAI CENTRAL,1655
161,JP UDZ SF SPL  ,JAIPUR         ,UDAIPUR CITY   ,430
162,GKP MUV PASS   ,GORAKHPUR JN   ,MANDUADIH      ,235
163,BSP NDLS RAJ EX,BILASPUR JN    ,NEW DELHI      ,1501
164,NDLS SHATABDI  ,MOGA           ,NEW DELHI      ,398
165,NDLSASR EXPRESS,NEW DELHI      ,AMRITSAR JN    ,448
166,KOLKATA JBN EXP,KOLKATA        ,JOGBANI        ,542
167,FZR BCT JANTA  ,FIROZPUR CANT  ,MUMBAI CENTRAL ,1770
168,AII HYB SF EXP ,AJMER JN       ,HYDERABAD DECAN,1711
169,DELHI SR EXPRES,PORBANDAR      ,DELHI S ROHILLA,1393
170,NDLS DBRT RJDHN,NEW DELHI      ,DIBRUGARH TOWN ,2459
171,MAHABODHI EXP  ,NEW DELHI      ,GAYA JN        ,989
172,GOA SMPRK K EXP,CHANDIGARH     ,MADGAON        ,2367
173,RJPB IPR EXPRES,RAJENDRANAGAR T,ISLAMPUR       ,63
174,DR SAINAGAR EXP,DADAR          ,SAINAGAR SHIRDI,336
175,LOK NAYAK EXP  ,DELHI          ,CHHAPRA        ,1000
176,DEE JU SUP     ,DELHI S ROHILLA,JODHPUR JN     ,622
177,KYQ ANVT EXPRES,KAMAKHYA       ,ANAND VIHAR TRM,1905
178,DBRG RNY EXPRES,DIBRUGARH      ,RANGIYA JN     ,554
179,ANVT SVDK SPL  ,ANAND VIHAR TRM,SHMATA VD KATRA,711
180,POORVA EXPRESS ,NEW DELHI      ,HOWRAH JN      ,1446
181,LJN KGM EXP    ,LUCKNOW NE     ,KATHGODAM      ,342
182,BIDR YPR EXP   ,BIDAR          ,YESVANTPUR JN  ,707
183,AMRITSAR MAIL  ,HOWRAH JN      ,AMRITSAR JN    ,1910
184,YPR PVR EXP    ,YESVANTPUR JN  ,PANDHARPUR     ,880
185,JAT SGNR EXP   ,JAMMU TAWI     ,SHRI GANGANAGAR,549
186,KAMAKHYA EXPRES,GANDHIDHAM BG  ,KAMAKHYA       ,3161
187,JOYRIDE STEAM  ,DARJEELING     ,TO DARJEELING  ,14
188,BILASPUR EXPRES,CHENNAI CENTRAL,BILASPUR JN    ,1412
189,LTT AZAMGARH EX,LOKMANYATILAK T,AZAMGARH       ,1551
190,ANVT KYQ EXPRES,ANAND VIHAR TRM,KAMAKHYA       ,1905
191,TIRUMALA EXPRES,VISAKHAPATNAM  ,TIRUPATI       ,736
192,TPTY BSP EXP   ,TIRUPATI       ,BILASPUR JN    ,1402
193,RATNACHALAM EXP,VISAKHAPATNAM  ,VIJAYAWADA JN  ,351
194,SRIJAGANNATH EX,PURI           ,HOWRAH JN      ,502
195,CIRCAR EXP     ,KAKINADA PORT  ,CHENNAI EGMORE ,700
196,MAHANAGARI EXP ,VARANASI JN    ,MUMBAI CST     ,1515
197,YESVANTHPUR EXP,SHIMOGA TOWN   ,YESVANTPUR JN  ,269
198,ALD HW EXP     ,ALLAHABAD JN   ,HARIDWAR JN    ,725
199,AVADH ASSAM EXP,LALGARH JN     ,NEW TINSUKIA JN,3073
200,SHAHEED EXP    ,AMRITSAR JN    ,JAYNAGAR       ,1654
201,ANVT GKP EXP   ,ANAND VIHAR TRM,GORAKHPUR JN   ,750
202,BPL PBH SUP EXP,BHOPAL  JN     ,PARTAPGARH JN  ,758
203,MUV GKP PASS   ,MANDUADIH      ,GORAKHPUR JN   ,235
204,JP YPR PREMIUM ,JAIPUR         ,YESVANTPUR JN  ,2407
205,KALINGAUTKALEXP,HARIDWAR JN    ,PURI           ,2370
206,KAWR YPR EXPRES,KARWAR         ,YESVANTPUR JN  ,794
207,KALINDI EXPRESS,BHIWANI        ,KANPUR CENTRAL ,605
208,LMG KYQ PASS   ,LUMDING JN     ,KAMAKHYA       ,188
209,SITAPURCITY PAS,DELHI          ,SITAPUR CITY   ,409
210,SESHADRI EXPRES,BANGALORE CY JN,KAKINADA TOWN  ,962
211,LJN PUNE EXP   ,LUCKNOW NE     ,PUNE JN        ,1480
212,MAO MAQ PASS   ,MADGAON        ,MANGALORE CNTL ,437
213,IND DOUBLE DECK,BHOPAL  JN     ,INDORE JN BG   ,263
214,VSKP KRBA EXPRE,VISAKHAPATNAM  ,KORBA          ,728
215,SAU JANATA EXP ,JAMNAGAR       ,BANDRA TERMINUS,812
216,TPTY CMNR PASS ,TIRUPATI       ,CHAMARAJANAGAR ,535
217,HOWRAH EXPRESS ,AHMEDABAD JN   ,HOWRAH JN      ,2087
218,ADI YPR EXPRESS,AHMEDABAD JN   ,YESVANTPUR JN  ,1796
219,BBS EXPRESS    ,BALANGIR       ,BHUBANESWAR    ,397
220,KARAIKAL EXP   ,CHENNAI EGMORE ,KARAIKAL       ,361
221,UTTAR S KRANTI ,UDHAMPUR       ,NEW DELHI      ,630
222,APDJ DBB SPECIA,ALIPUR DUAR JN ,DHUBRI         ,102
223,KYQ LMG PASS   ,KAMAKHYA       ,LUMDING JN     ,188
224,JU BPL PASS    ,JODHPUR JN     ,BHOPAL  JN     ,993
225,BSL DR T F SPL ,BHUSAVAL JN    ,DADAR          ,436
226,NAVYUG EXP     ,MANGALORE CNTL ,JAMMU TAWI     ,3607
227,ROU MURI JAT EX,ROURKELA       ,JAMMU TAWI     ,2158
228,SSPN EXPRESS   ,CHENNAI CENTRAL,SAI P NILAYAM  ,529
229,MAS PURI EXPRES,CHENNAI CENTRAL,PURI           ,1248
230,SC RAL PASSENGE,SECUNDERABAD JN,REPALLE        ,341
231,SILAMBU EXPRESS,MANAMADURAI JN ,CHENNAI EGMORE ,487
232,CSTM LATUR EXP ,MUMBAI CST     ,LATUR          ,530
233,RAJYA RANI EXP ,MEERUT CITY    ,LUCKNOW NE     ,459
234,ASR HWH EXPRESS,AMRITSAR JN    ,HOWRAH JN      ,1922
235,TATA ITR PASS  ,TATANAGAR JN   ,ITWARI         ,878
236,MVJ MJ PASS    ,MAVLI JN       ,MARWAR JN      ,152
237,SHARAVATHI EXP ,DADAR          ,MYSORE JN      ,1212
238,NGP RMO CWA PAS,NAGPUR         ,CHHINDWARA JN  ,148
239,TRICHY EXPRESS ,CHENNAI EGMORE ,TIRUCHCHIRAPALI,401
240,ANVT KOAA EXP  ,ANAND VIHAR TRM,KOLKATA        ,1532
241,HWH MLDT F PASS,HOWRAH JN      ,MALDA TOWN     ,339
242,PNBE VSG EXPRES,PATNA JN       ,VASCO DA GAMA  ,2418
243,YPR CANNANORE E,YESVANTPUR JN  ,KANNUR         ,662
244,SRC ANVT SF EXP,SANTRAGACHI JN ,ANAND VIHAR TRM,1570
245,ADI LUCKNOW EXP,AHMEDABAD JN   ,LUCKNOW NR     ,1301
246,INDB RJPB EXP  ,INDORE JN BG   ,RAJENDRANAGAR T,1402
247,BJU NDLS AC SPL,BARAUNI JN     ,NEW DELHI      ,1156
248,TUNGABHADRA EXP,KURNOOL CITY   ,SECUNDERABAD JN,244
249,GWL PUNE EXP   ,GWALIOR        ,PUNE JN        ,1372
250,ASR INDB EXPRES,AMRITSAR JN    ,INDORE JN BG   ,1337
251,HYDERABAD EXP  ,MUMBAI CST     ,HYDERABAD DECAN,790
252,HWH SNSI EXPRES,HOWRAH JN      ,SAINAGAR SHIRDI,1790
253,PRATHAM S S EXP,KOLKATA        ,JHANSI JN      ,1325
254,VAIGAI EXP     ,MADURAI JN     ,CHENNAI EGMORE ,497
255,DBG SC EXPRESS ,DARBHANGA JN   ,SECUNDERABAD JN,1914
256,SNSI VSKP EXP  ,SAINAGAR SHIRDI,VISAKHAPATNAM  ,1404
257,NDLS NJP SF EXP,NEW DELHI      ,NEW JALPAIGURI ,1500
