,train,source,dest,dist
356,TN CBE LINK EXP,TUTICORIN      ,COIMBATORE JN  ,465
357,KYQ RNC EXPRESS,KAMAKHYA       ,RANCHI         ,1216
358,ASR AII EXP    ,AMRITSAR JN    ,AJMER JN       ,848
359,JANSEWA EXPRESS,MUZAFFARPUR JN ,BHAGALPUR      ,240
360,PUNE NANDED EXP,PUNE JN        ,H SAHIB NANDED ,557
361,STEEL EXP      ,TATANAGAR JN   ,HOWRAH JN      ,250
362,SIMHADRI EXPRES,VISAKHAPATNAM  ,GUNTUR JN      ,383
363,YPR HOWRAH EXP ,YESVANTPUR JN  ,HOWRAH JN      ,1963
364,PATALKOT EXP   ,DELHI S ROHILLA,CHHINDWARA JN  ,1050
365,HWH LKU EXP    ,HOWRAH JN      ,LAL KUAN       ,1344
366,YPR HRR EXP    ,YESVANTPUR JN  ,HARIHAR        ,334
367,KOTA BIX PASS  ,KOTA JN        ,BHIND          ,500
368,SAMPARK KRANTI ,MADURAI JN     ,H NIZAMUDDIN   ,2676
369,CHHATISGARH EXP,AMRITSAR JN    ,BILASPUR JN    ,2008
370,HWH CSTM DURONT,HOWRAH JN      ,MUMBAI CST     ,1968
371,BBS  GARIB RATH,DHANBAD JN     ,BHUBANESWAR    ,780
372,BANKA RJPB EXP ,BANKA          ,RAJENDRANAGAR T,272
373,KCG NCJ EXP    ,KACHEGUDA      ,NAGERCOIL JN   ,1495
374,PURI KYQ EXPRES,PURI           ,KAMAKHYA       ,1572
375,BANGALORE SF EX,ERNAKULAM JN   ,BANGALORE CY JN,625
376,MADGAON PASSR  ,MANGALORE CNTL ,MADGAON        ,437
377,GANDHIDHAM EXP ,BANDRA TERMINUS,GANDHIDHAM BG  ,859
378,BRMT PUNE PAS  ,BARAMATI       ,PUNE JN        ,120
379,COALFIELD EXP  ,DHANBAD JN     ,HOWRAH JN      ,259
380,KAVERI EXPRESS ,MYSORE JN      ,CHENNAI CENTRAL,500
381,FAST PASSENGER ,PANDHARPUR     ,MUMBAI CST     ,429
382,AKAL TAKHAT EXP,AMRITSAR JN    ,SEALDAH        ,1898
383,HUBLI EXP      ,KOCHUVELI      ,HUBLI JN       ,1307
384,ASR NED SF EXP ,AMRITSAR JN    ,H SAHIB NANDED ,1941
385,YPR  CBE EXP   ,YESVANTPUR JN  ,COIMBATORE JN  ,440
386,KOLKATA RJDHNI ,HOWRAH JN      ,NEW DELHI      ,1529
387,CBE JAIPUR EXP ,COIMBATORE JN  ,JAIPUR         ,2680
388,PURI LTT SF EXP,PURI           ,LOKMANYATILAK T,1851
389,UAM ONR PASSR  ,UDAGAMANDALAM  ,COONOOR        ,19
390,MAUR DHAWAJ EXP,JAMMU TAWI     ,MUZAFFARPUR JN ,1515
391,BKN DEE SF EXP ,BIKANER JN     ,DELHI S ROHILLA,805
392,BAGMATI EXPRESS,MYSORE JN      ,DARBHANGA JN   ,3047
393,JBN KOLKATA EXP,JOGBANI        ,KOLKATA        ,542
394,PUNE JAIPUR EXP,PUNE JN        ,JAIPUR         ,1302
395,NS NSL EXP     ,NARASAPUR      ,NAGARSOL       ,1048
396,VINDHYACHAL EXP,BHOPAL  JN     ,ITARSI JN      ,738
397,NDLS RNC RAJ EX,NEW DELHI      ,RANCHI         ,1305
398,LKO ADI EXP    ,LUCKNOW NR     ,AHMEDABAD JN   ,1301
399,MITHILA EXPRESS,RAXAUL JN      ,HOWRAH JN      ,693
400,MAITREE EXPRESS,DHAKA          ,KOLKATA        ,375
401,TATANAGAR  EXP ,ASANSOL JN     ,TATANAGAR JN   ,167
402,RANI CHENNAMMA ,BANGALORE CY JN,C SHAHUMHARAJ T,795
403,TPTY AMI SUP EX,TIRUPATI       ,AMRAVATI       ,1307
404,BKSC HWH  PAS  ,BOKARO STL CITY,HOWRAH JN      ,367
405,LGH ABS PASNGER,LALGARH JN     ,ABOHAR         ,394
406,MUMBAI GARIBRAT,JABALPUR       ,MUMBAI CST     ,997
407,HWH ADI EXPRESS,HOWRAH JN      ,AHMEDABAD JN   ,2087
408,RNC  JYG  EXP  ,RANCHI         ,JAYNAGAR       ,612
409,JSM HWH SF EXP ,JAISALMER      ,HOWRAH JN      ,2245
410,SHIPRA EXPRESS ,INDORE JN BG   ,HOWRAH JN      ,1736
411,LUCKNOW MAIL   ,NEW DELHI      ,LUCKNOW NR     ,493
412,BBS YPR SUP EXP,BHUBANESWAR    ,YESVANTPUR JN  ,1524
413,KANDARI EXPRESS,DIGHA FLAG STN ,HOWRAH JN      ,186
414,DURG VSKP PGR  ,DURG           ,VISAKHAPATNAM  ,564
415,SWARNA JAYANTI ,H NIZAMUDDIN   ,TRIVANDRUM CNTL,3013
416,NAGERCOIL  EXP ,BANGALORE CY JN,NAGERCOIL JN   ,723
417,PUNE JBP SUP SP,PUNE JN        ,JABALPUR       ,1049
418,SHM SC WKLY EXP,SHALIMAR       ,SECUNDERABAD JN,1580
419,KALKA SHTBDI   ,KALKA          ,NEW DELHI      ,303
420,RNC JANSHATABDI,PATNA JN       ,RANCHI         ,411
421,KORAPUT HWH EXP,JAGDALPUR      ,HOWRAH JN      ,1163
422,NJP HWH AC EXP ,NEW JALPAIGURI ,HOWRAH JN      ,561
423,RNC DUMK EXP   ,RANCHI         ,DUMKA          ,383
424,HWH MUMBAI MAIL,HOWRAH JN      ,MUMBAI CST     ,1968
425,MS GURUVAYUR EX,CHENNAI EGMORE ,GURUVAYUR      ,1100
426,DECCAN EXPRESS ,PUNE JN        ,MUMBAI CST     ,192
427,CKP BBN INT EXP,CHAKRADHARPUR  ,BARABIL        ,127
428,KJM SPECIAL    ,VISAKHAPATNAM  ,KRISHNARAJAPURM,1077
429,KRPU ROU EXPRES,KORAPUT        ,ROURKELA       ,645
430,SVDK ANVT SPL  ,SHMATA VD KATRA,ANAND VIHAR TRM,711
431,PUNE SUR PASS  ,PUNE JN        ,SOLAPUR JN     ,264
432,GD SUSHASAN EXP,GWALIOR        ,GONDA JN       ,912
433,KAGHAZNAGAR EXP,SIRPUR KAGAZNGR,SECUNDERABAD JN,297
434,KUSHINAGAR EXP ,GORAKHPUR JN   ,LOKMANYATILAK T,1682
435,JAIPUR EXP     ,CHENNAI CENTRAL,JAIPUR         ,2184
436,BBS ROU INT EXP,BHUBANESWAR    ,ROURKELA       ,419
437,UDZ ADI EXPRESS,UDAIPUR CITY   ,AHMEDABAD JN   ,298
438,PALAMOU EXPRESS,BARKA KANA     ,PATNA JN       ,494
439,SC JP EXP      ,SECUNDERABAD JN,JAIPUR         ,1732
440,GYAN GANGA SF  ,MANDUADIH      ,PUNE JN        ,1537
441,KOAA DBG EXP   ,KOLKATA        ,DARBHANGA JN   ,539
442,BSL CSN T F SPL,BHUSAVAL JN    ,CHALISGAON JN  ,117
443,NJP RNC EXPRESS,NEW JALPAIGURI ,RANCHI         ,838
444,SUR HUBLI EXP  ,SOLAPUR JN     ,HUBLI JN       ,358
445,TPJ EXPRESS    ,TIRUNELVELI    ,TIRUCHCHIRAPALI,317
446,A P SMPRK KRNTI,TIRUPATI       ,H NIZAMUDDIN   ,2303
447,KOLKATA MAIL   ,MUMBAI CST     ,HOWRAH JN      ,2176
448,ANNANYA  EXPRES,SEALDAH        ,UDAIPUR CITY   ,2140
449,UNCHAHAR EXP   ,CHANDIGARH     ,ALLAHABAD JN   ,913
450,KIR HWH EXPRESS,KATIHAR JN     ,HOWRAH JN      ,422
451,HWH BKSC PASS  ,HOWRAH JN      ,BOKARO STL CITY,367
452,PURI LTT SUP EX,PURI           ,LOKMANYATILAK T,1880
453,PBR EXPRESS    ,MUZAFFARPUR JN ,PORBANDAR      ,2470
454,JP ADI PASSNGER,JAIPUR         ,AHMEDABAD JN   ,631
455,HWH NDLS EXPRES,HOWRAH JN      ,NEW DELHI      ,1447
456,DEE BKN  S F EX,DELHI S ROHILLA,BIKANER JN     ,458
457,JP PUNE SF EXP ,JAIPUR         ,PUNE JN        ,1302
458,NDLS NHLN AC SF,NEW DELHI      ,NAHARLAGUN     ,2120
459,DADAR TEN EXP  ,DADAR          ,TIRUNELVELI    ,2059
460,KOP NAGPUR EXP ,C SHAHUMHARAJ T,NAGPUR         ,1038
461,SWV DIVA PASS  ,SAWANTWADI ROAD,DIVA           ,613
462,MAHALAXMI EXP  ,C SHAHUMHARAJ T,MUMBAI CST     ,518
463,NJP NDLS EXPRES,NEW JALPAIGURI ,NEW DELHI      ,1500
464,DEE BDTS G RATH,DELHI S ROHILLA,BANDRA TERMINUS,1431
465,MBF BGKT EXP   ,MUNABAO        ,BHAGAT KI KOTHI,325
466,ONR UAM PASSR  ,COONOOR        ,UDAGAMANDALAM  ,19
467,RMR CDG EXP    ,RAMNAGAR       ,CHANDIGARH     ,419
468,COCANADA EXP   ,SECUNDERABAD JN,KAKINADA TOWN  ,591
469,UTR SAMPRK K EX,KATHGODAM      ,DELHI          ,278
470,KCVL BVC EXPRES,KOCHUVELI      ,BHAVNAGAR TRMUS,2569
471,WEST COAST EXP ,MANGALORE CNTL ,CHENNAI CENTRAL,902
472,BSB SDAH EXPRES,VARANASI JN    ,SEALDAH        ,871
473,KGP VM SF EXP  ,KHARAGPUR JN   ,VILLUPURAM JN  ,1767
474,MANNAI EXP     ,MANNARGUDI     ,CHENNAI EGMORE ,395
475,UBL LTT EXP    ,HUBLI JN       ,LOKMANYATILAK T,793
476,DDN ASR EXPRESS,DEHRADUN       ,AMRITSAR JN    ,463
477,FZR JANATA EXP ,MUMBAI CENTRAL ,FIROZPUR CANT  ,1772
478,MAGADH EXPRESS ,NEW DELHI      ,ISLAMPUR       ,1063
479,KJM VSKP EXP   ,KRISHNARAJAPURM,VISAKHAPATNAM  ,1077
480,SDAH BUI EXPRES,SEALDAH        ,BALLIA         ,679
481,AII HW EXP     ,AJMER JN       ,HARIDWAR JN    ,672
482,FARAKKA EXPRESS,DELHI          ,MALDA TOWN     ,1458
483,LASHKAR EXPRESS,AGRA CANTT     ,LOKMANYATILAK T,1334
484,SC DURONTO EXP ,VISAKHAPATNAM  ,SECUNDERABAD JN,701
485,UTSARG EXP     ,FARRUKHABAD    ,CHHAPRA        ,688
486,NED BKN EXP    ,H SAHIB NANDED ,BIKANER JN     ,1672
487,HYB BJP PSGR   ,HYDERABAD DECAN,BIJAPUR        ,444
488,NGP TTKL FARE S,SOLAPUR JN     ,NAGPUR         ,880
489,LJN CDG EXPRESS,LUCKNOW NE     ,CHANDIGARH     ,724
490,CHAURICHAURAEXP,GORAKHPUR JN   ,KANPUR ANWRGANJ,552
491,MAS VASCO EXP  ,CHENNAI CENTRAL,VASCO DA GAMA  ,1070
492,PRR HWH EXP    ,PURULIA JN     ,HOWRAH JN      ,323
493,SC GHY EXP     ,SECUNDERABAD JN,GUWAHATI       ,2551
494,NELLAI EXPRESS ,TIRUNELVELI    ,CHENNAI EGMORE ,653
495,VSKP NED EXPRES,VISAKHAPATNAM  ,H SAHIB NANDED ,973
496,GORAKHPUR  SPL ,SECUNDERABAD JN,GORAKHPUR JN   ,1821
497,MLDT HWH F PAS ,MALDA TOWN     ,HOWRAH JN      ,339
498,SURAT PURI EXP ,SURAT          ,PURI           ,1754
499,KLK SNSI SF EXP,KALKA          ,SAINAGAR SHIRDI,1669
500,BARMER  KLK EXP,BARMER         ,KALKA          ,1117
501,CHETAK EXP     ,UDAIPUR CITY   ,DELHI S ROHILLA,673
502,AII RTM EXP    ,AJMER JN       ,RATLAM JN      ,375
503,RADHIKAPUR EXP ,RADHIKAPUR     ,KOLKATA        ,476
504,HTE RJPB EXP   ,HATIA          ,RAJENDRANAGAR T,421
505,MFP GARIB RATH ,ANAND VIHAR TRM,MUZAFFARPUR JN ,1060
506,BANGLORE RAJDHN,H NIZAMUDDIN   ,BANGALORE CY JN,2294
507,NDLS JANSHTBDI ,UNA HIMACHAL   ,NEW DELHI      ,410
508,JAT BTI EXP    ,JAMMU TAWI     ,BHATINDA JN    ,490
509,PANDIAN EXP    ,MADURAI JN     ,CHENNAI EGMORE ,497
510,KAMRUP EXPRESS ,DIBRUGARH      ,HOWRAH JN      ,1528
511,KONGU EXPRESS  ,H NIZAMUDDIN   ,COIMBATORE JN  ,2664
512,DEE BGKT EXP   ,DELHI S ROHILLA,BHAGAT KI KOTHI,625
513,PURI BKN EXPRES,PURI           ,BIKANER JN     ,2097
514,HWH PBR  OKHAEX,HOWRAH JN      ,PORBANDAR      ,2551
515,PORVOTR S KRNTI,NEW DELHI      ,GUWAHATI       ,1974
516,BDTS AC S F EXP,BHUJ           ,BANDRA TERMINUS,839
517,JU JSM EXPRESS ,JODHPUR JN     ,JAISALMER      ,301
518,INDB RJPB  EXP ,INDORE JN BG   ,RAJENDRANAGAR T,1361
519,LOKAMANYA TT EX,HUBLI JN       ,LOKMANYATILAK T,734
520,JHRKHND S KRNTI,NEW DELHI      ,RANCHI         ,1308
521,BDTS PIT SF EXP,BANDRA TERMINUS,PALITANA       ,785
522,SC NGP SUP EXP ,SECUNDERABAD JN,NAGPUR         ,578
523,PATLIPUTRAEXP  ,YESVANTPUR JN  ,PATLIPUTRA     ,2711
524,KACHEGUDA  EXP ,CHENNAI EGMORE ,KACHEGUDA      ,773
525,FLYING RANEE   ,SURAT          ,MUMBAI CENTRAL ,263
526,PUNJAB MAIL    ,FIROZPUR CANT  ,MUMBAI CST     ,1930
527,JU AII FAST PAS,JODHPUR JN     ,AJMER JN       ,244
528,SAURASHTRA EXP ,PORBANDAR      ,MUMBAI CENTRAL ,955
529,SWARAJ EXPRESS ,JAMMU TAWI     ,BANDRA TERMINUS,1950
530,NTSK JIVACHH LI,DARBHANGA JN   ,NEW TINSUKIA JN,1392
531,ABKP DURG PAS E,AMBIKAPUR      ,DURG           ,469
532,SRC VIVEK EXP  ,MANGALORE CNTL ,SANTRAGACHI JN ,2487
533,RMM VARANASI EX,RAMESWARAM     ,VARANASI JN    ,2795
534,ADI SVDK EXPRES,AHMEDABAD JN   ,SHMATA VD KATRA,1739
535,ASR NED EXPRESS,AMRITSAR JN    ,H SAHIB NANDED ,2081
536,JANSHATABDI EXP,BANGALORE CY JN,HUBLI JN       ,469
537,BLGT HWH EXPRES,BALURGHAT      ,HOWRAH JN      ,437
538,TPTY BBS  SF EX,TIRUPATI       ,BHUBANESWAR    ,1179
539,RAYALASEEMA EXP,TIRUPATI       ,HYDERABAD DECAN,733
540,PADATIK EXPRESS,NEW JALPAIGURI ,SEALDAH        ,567
541,KRBA TVC EXPRES,KORBA          ,TRIVANDRUM CNTL,2518
542,PA GORAKHPUR EX,PUNE JN        ,GORAKHPUR JN   ,1771
543,HTE PNBE EXP   ,HATIA          ,PATNA JN       ,415
544,JANMABHOOMI  EX,AHMEDABAD JN   ,UDHAMPUR       ,1539
545,RAJYARANI EXP  ,BANGALORE CY JN,MYSORE JN      ,139
546,SAMPARK KRANTHI,KOCHUVELI      ,CHANDIGARH     ,3415
547,PBR SC EXPRESS ,PORBANDAR      ,SECUNDERABAD JN,1694
548,ANVT HLZ S F EX,ANAND VIHAR TRM,HALDIA         ,1576
549,K V EXP        ,VARANASI JN    ,NEW DELHI      ,794
550,GUJARAT EXPRESS,AHMEDABAD JN   ,MUMBAI CENTRAL ,491
551,RJT DEE EXPRESS,RAJKOT JN      ,DELHI S ROHILLA,1106
552,TAPOVAN EXPRESS,MUMBAI CST     ,H SAHIB NANDED ,610
553,DGHA MLDT EXP  ,DIGHA FLAG STN ,MALDA TOWN     ,653
554,BHUJ DADAR EXP ,BHUJ           ,DADAR          ,977
555,BKN BSP SPL    ,BIKANER JN     ,BILASPUR JN    ,1884
556,HDB KOAA SF EXP,HALDIBARI      ,KOLKATA        ,620
557,SABARI EXP     ,HYDERABAD DECAN,TRIVANDRUM CNTL,1568
558,IND AMRITSAR EX,INDORE JN BG   ,AMRITSAR JN    ,1344
559,UHL JANSHATABDI,NEW DELHI      ,UNA HIMACHAL   ,410
560,NEELACHAL EXP  ,NEW DELHI      ,PURI           ,1912
561,TPTY KRMR  EXP ,TIRUPATI       ,KARIMNAGAR     ,714
562,SC GNT EXP     ,SECUNDERABAD JN,GUNTUR JN      ,383
563,DURG PURI EXP  ,DURG           ,PURI           ,796
564,SBP HWH SUP EXP,SAMBALPUR      ,HOWRAH JN      ,661
565,DGHA PURI EXP  ,DIGHA FLAG STN ,PURI           ,549
566,GARBHA EXPRESS ,HOWRAH JN      ,GANDHIDHAM BG  ,2510
567,NAVAJIVAN EXP  ,CHENNAI CENTRAL,AHMEDABAD JN   ,1891
568,CHITRAKUT  EXP ,LUCKNOW NE     ,JABALPUR       ,584
569,AJMER EXPRESS  ,MYSORE JN      ,AJMER JN       ,2290
570,VSKP LTT EXPRES,VISAKHAPATNAM  ,LOKMANYATILAK T,1650
571,ARCHANA EXPRESS,JAMMU TAWI     ,RAJENDRANAGAR T,1515
572,BAREILLY EXPRES,BHUJ           ,BAREILLY       ,1410
573,SWARNA JAYANTHI,H NIZAMUDDIN   ,MYSORE JN      ,2617
574,DLI FKA EXP    ,DELHI          ,FAZILKA        ,522
575,ANVT LKO SPL   ,ANAND VIHAR TRM,LUCKNOW NR     ,480
576,SHIRDI FAST PAS,MUMBAI CST     ,SAINAGAR SHIRDI,455
577,SIDDHESWAR EXP ,SOLAPUR JN     ,MUMBAI CST     ,455
578,JP SC EXP      ,JAIPUR         ,SECUNDERABAD JN,1731
579,ORISSA S KRANTI,BHUBANESWAR    ,NEW DELHI      ,1793
580,CDG BSB SPECIAL,CHANDIGARH     ,VARANASI JN    ,951
581,MIRAJ UBL EXP  ,MIRAJ JN       ,HUBLI JN       ,279
582,HARIPRIYA EXP  ,C SHAHUMHARAJ T,TIRUPATI       ,905
583,YPR GKP EXP    ,YESVANTPUR JN  ,GORAKHPUR JN   ,2473
584,GHY LTT EXP    ,GUWAHATI       ,LOKMANYATILAK T,2593
585,KOTA JAT EXP   ,KOTA JN        ,JAMMU TAWI     ,1058
586,NZM DURONTO EXP,PUNE JN        ,H NIZAMUDDIN   ,1520
587,SNSI CHENNAI EX,SAINAGAR SHIRDI,CHENNAI CENTRAL,1392
588,SATABDI EXPRESS,PURI           ,HOWRAH JN      ,502
589,TIRHUT EXPRESS ,MUZAFFARPUR JN ,KOLKATA        ,566
590,MADGAON ERS EXP,MADGAON        ,ERNAKULAM JN   ,850
591,GKP LTT SUP EXP,GORAKHPUR JN   ,LOKMANYATILAK T,1680
592,HWH YPR DURONTO,HOWRAH JN      ,YESVANTPUR JN  ,1946
593,MATSYAGANDA EXP,MANGALORE CNTL ,LOKMANYATILAK T,1186
594,MAQ VIVEK EXP  ,SANTRAGACHI JN ,MANGALORE CNTL ,2487
595,SABARMATI EXP  ,VARANASI JN    ,AHMEDABAD JN   ,1601
596,KOTA NZM SUP SP,KOTA JN        ,H NIZAMUDDIN   ,458
597,INTERCITY  EXP ,LEDO           ,KAMAKHYA       ,578
598,PEARL CITY EXP ,TUTICORIN      ,CHENNAI EGMORE ,656
599,AII DEE SF SPL ,AJMER JN       ,DELHI S ROHILLA,373
600,HYB KOP EXPRESS,HYDERABAD DECAN,C SHAHUMHARAJ T,998
601,LOKMANYA TT EXP,COIMBATORE JN  ,LOKMANYATILAK T,1518
602,RNY DBRG SPECIA,RANGIYA JN     ,DIBRUGARH      ,604
603,JBP PUNE SPECIA,JABALPUR       ,PUNE JN        ,1049
604,RJPB NTSK EXP  ,RAJENDRANAGAR T,NEW TINSUKIA JN,1488
605,BCT DURONTO EXP,AHMEDABAD JN   ,MUMBAI CENTRAL ,491
606,DGHA PURI SUP E,DIGHA FLAG STN ,PURI           ,549
607,BHUSAVAL PASS  ,SURAT          ,BHUSAVAL JN    ,336
608,SHM MAS SF EXP ,SHALIMAR       ,CHENNAI CENTRAL,1660
609,JSM BDTS SF    ,JAISALMER      ,BANDRA TERMINUS,1229
610,RAMPURHAT EXP  ,RAMPUR HAT     ,HOWRAH JN      ,207
611,KOAA JSME PGS  ,KOLKATA        ,JASIDIH JN     ,326
612,R DRZ EXPRESS  ,RAIPUR JN      ,DALLI RAJHARA  ,126
613,SC  VSKP AC EXP,SECUNDERABAD JN,VISAKHAPATNAM  ,701
614,LJN CPR EXP    ,LUCKNOW NE     ,CHHAPRA        ,537
615,LTT GARIB RATH ,KOCHUVELI      ,LOKMANYATILAK T,1812
616,CPR SVDKSPL    ,CHHAPRA        ,SHMATA VD KATRA,1522
617,NGP BILASPUR EX,NAGPUR         ,BILASPUR JN    ,412
618,TPU ASH EXPRESS,TANAKPUR       ,AISHBAGH       ,322
619,LTT KRMI AC SUP,LOKMANYATILAK T,KARMALI        ,710
620,DARJEELING MAIL,HALDIBARI      ,SEALDAH        ,624
621,KOVAI EXPRESS  ,CHENNAI CENTRAL,COIMBATORE JN  ,497
622,SAHYADRI EXP   ,C SHAHUMHARAJ T,MUMBAI CST     ,518
623,GKP SGG SPL    ,GORAKHPUR JN   ,SULTANGANJ     ,440
624,PUNE LJN EXPRES,PUNE JN        ,LUCKNOW NE     ,1480
625,HBJ DOUBLE DECK,INDORE JN BG   ,HABIBGANJ      ,224
626,AII DDR  EXPRES,AJMER JN       ,DADAR          ,976
627,JP HSR PASS    ,JAIPUR         ,HISAR          ,368
628,BAGH EXPRESS   ,KATHGODAM      ,HOWRAH JN      ,1521
629,HBJ CSTM SUP SP,HABIBGANJ      ,MUMBAI CST     ,837
630,NZM DURONTO  EX,SECUNDERABAD JN,H NIZAMUDDIN   ,1660
631,JP MADRAS EXP  ,JAIPUR         ,CHENNAI CENTRAL,2184
632,SUBARNAREKHA EX,TATANAGAR JN   ,DHANBAD JN     ,193
633,DR BSL T F SPL ,DADAR          ,BHUSAVAL JN    ,436
634,YESVANTPUR EXP ,PUDUCHERRY     ,YESVANTPUR JN  ,456
635,MAS VSKP  EXP  ,CHENNAI CENTRAL,VISAKHAPATNAM  ,804
636,TAPASWINI EXPRE,PURI           ,HATIA          ,691
637,MDU DURONTO EXP,CHENNAI CENTRAL,MADURAI JN     ,559
638,UMB MFP EXPRESS,AMBALA CANT JN ,MUZAFFARPUR JN ,1201
639,VARUNA EXP     ,KANPUR CENTRAL ,VARANASI JN    ,357
640,DHN PNBE EXPRES,DHANBAD JN     ,PATNA JN       ,373
641,BGKT MQ EXPRESS,BHAGAT KI KOTHI,MANNARGUDI     ,2861
642,ORISSA S KRNTI ,NEW DELHI      ,BHUBANESWAR    ,1799
643,ADI DOUBLE DECK,MUMBAI CENTRAL ,AHMEDABAD JN   ,491
644,CDG RMR  EXP   ,CHANDIGARH     ,RAMNAGAR       ,419
645,LJN LTT EXPRESS,LUCKNOW NE     ,LOKMANYATILAK T,1412
646,VISAKHA EXPRESS,BHUBANESWAR    ,SECUNDERABAD JN,1134
647,BBS TPTY EXPRES,BHUBANESWAR    ,TIRUPATI       ,1179
648,BAREILLY DLI EX,BAREILLY       ,DELHI          ,274
649,JAMMUTAWI EXP  ,JABALPUR       ,JAMMU TAWI     ,1505
650,MYSORE EXPRESS ,CHENNAI CENTRAL,MYSORE JN      ,500
651,NAGARCOIL EXP  ,MUMBAI CST     ,NAGERCOIL JN   ,1949
652,MANDUADIH EXP  ,MUZAFFARPUR JN ,MANDUADIH      ,544
653,CHENNAI MAIL   ,BANGALORE CY JN,CHENNAI CENTRAL,362
654,NTSK  RJPB  EXP,NEW TINSUKIA JN,RAJENDRANAGAR T,1488
655,KIK LTT EXPRESS,KARAIKAL       ,LOKMANYATILAK T,1634
656,KOCHUVELI  ACEX,YESVANTPUR JN  ,KOCHUVELI      ,860
657,ARCHNA EXPRESS ,RAJENDRANAGAR T,JAMMU TAWI     ,1515
658,LEELAN EXP     ,JAIPUR         ,BIKANER JN     ,382
659,AHMADABAD PASS ,AHMEDABAD JN   ,BORIVALI       ,462
660,UPASANA EXPRESS,DEHRADUN       ,HOWRAH JN      ,1587
661,NDLS CNB SHT   ,NEW DELHI      ,KANPUR CENTRAL ,437
662,HYB PUNE EXP   ,HYDERABAD DECAN,PUNE JN        ,649
663,LATUR CSTM EXP ,LATUR          ,MUMBAI CST     ,530
664,KARNATAKA EXP  ,NEW DELHI      ,BANGALORE CY JN,2406
665,BHAGIRATHI EXP ,LALGOLA        ,SEALDAH        ,227
666,INDRAYANI EXP  ,PUNE JN        ,MUMBAI CST     ,192
667,TATA YPR EXP   ,TATANAGAR JN   ,YESVANTPUR JN  ,2441
668,LTT GKP EXPRESS,LOKMANYATILAK T,GORAKHPUR JN   ,1727
669,INDB NAGPUR EXP,INDORE JN BG   ,NAGPUR         ,607
670,SMI KOAA EXP   ,SITAMARHI      ,KOLKATA        ,607
671,SARYU YAMUNA EX,JAYNAGAR       ,AMRITSAR JN    ,1670
672,LJN BDTS EXP   ,LUCKNOW NE     ,BANDRA TERMINUS,1687
673,DNR TATA EXP   ,DANAPUR        ,TATANAGAR JN   ,508
674,HWH RNC INT EXP,HOWRAH JN      ,RANCHI         ,462
675,VSKP DURG PAS  ,VISAKHAPATNAM  ,DURG           ,564
676,PBR KAVIGURU EX,SANTRAGACHI JN ,PORBANDAR      ,2667
677,PURI HWH SPECIA,PURI           ,HOWRAH JN      ,502
678,HIMALYAN QUEEN ,KALKA          ,SIMLA          ,96
679,ASN GD EXPRESS ,ASANSOL JN     ,GONDA JN       ,862
680,HWH PRR EXP    ,HOWRAH JN      ,PURULIA JN     ,323
681,DURG NTV EXP   ,DURG           ,NAUTANWA       ,1152
682,PAU KOP SPL    ,PURNA JN       ,C SHAHUMHARAJ T,578
683,ASN CSTM EXPRES,ASANSOL JN     ,MUMBAI CST     ,2042
684,JBP  NZM EXPRES,JABALPUR       ,H NIZAMUDDIN   ,906
685,KRISHNA EXP    ,ADILABAD       ,TIRUPATI       ,1228
686,VSKP SWRN J EXP,H NIZAMUDDIN   ,VISAKHAPATNAM  ,2095
687,ROCK FORT EXP  ,CHENNAI EGMORE ,TIRUCHCHIRAPALI,336
688,ASR CSTM  EXP  ,AMRITSAR JN    ,MUMBAI CST     ,2046
689,YPR DURONTO EXP,DELHI S ROHILLA,YESVANTPUR JN  ,2367
690,BKN YPR EXPRESS,BIKANER JN     ,YESVANTPUR JN  ,2450
691,LJN GARIBRATH  ,RAIPUR JN      ,LUCKNOW NE     ,919
692,GORAKHPUR EXP  ,AHMEDABAD JN   ,GORAKHPUR JN   ,1573
693,YPR  SKRANTIEXP,YESVANTPUR JN  ,CHANDIGARH     ,2883
694,SUVIDHA SPECIAL,HOWRAH JN      ,ERNAKULAM JN   ,2314
695,AII JAT EXPRESS,AJMER JN       ,JAMMU TAWI     ,1017
696,NDLS DBRG RJDHN,NEW DELHI      ,DIBRUGARH      ,2453
697,AHILYANAGARI EX,TRIVANDRUM CNTL,INDORE JN BG   ,2651
698,JHAJHA DBRG EXP,JHAJHA         ,DIBRUGARH      ,1710
699,GHY INTERCITY  ,DIBRUGARH      ,KAMAKHYA       ,560
700,SAPTHAGIRI EXP ,CHENNAI CENTRAL,TIRUPATI       ,151
701,KAKATHIYA  F PS,MANUGURU       ,SECUNDERABAD JN,331
702,SHESHADRI EXP  ,KAKINADA TOWN  ,BANGALORE CY JN,962
703,CAPE MUMBAI EXP,KANYAKUMARI    ,MUMBAI CST     ,2136
704,JP LJN EXP     ,JAIPUR         ,LUCKNOW NE     ,676
705,BTI NDLS SHTBDI,BHATINDA JN    ,NEW DELHI      ,299
706,JYG DBG PURI EX,JAYNAGAR       ,PURI           ,1004
707,HW RMR EXP     ,HARIDWAR JN    ,RAMNAGAR       ,245
708,RMR HW EXP     ,RAMNAGAR       ,HARIDWAR JN    ,245
709,GKP SHM EXPRESS,GORAKHPUR JN   ,SHALIMAR       ,1050
710,DLI FD EXP     ,DELHI          ,FAIZABAD JN    ,615
711,PUDUCHERRY EXP ,KANYAKUMARI    ,PUDUCHERRY     ,699
