,nodes,lat,lon
143,DIBRUGARHTOWN,27.4728327,94.9119621
144,BHATINDAJN,30.212796,74.9331147
145,DHUBRI,26.0206982,89.9743463
146,PATHANKOT,32.2643375,75.6421121
147,BOKAROSTLCITY,23.6692956,86.151112
148,KAKINADAPORT,16.9456121,82.2610457
149,LALGARHJN,28.0434943,73.3145098
150,CHANDIGARH,30.7333148,76.7794179
151,NEWCOOCHBEHAR,26.3532967,89.4684573
152,BANIHAL,33.4460731,75.1895576
153,BALANGIR,20.7074234,83.4842725
154,PURULIAJN,23.3254134,86.3779031
155,AHMEDABADJN,23.0267483,72.6008752
156,RAMESWARAM,9.2876254,79.3129291
157,INDOREJNMG,22.716663,75.867968
158,SHIMOGATOWN,13.9299299,75.568101
159,LUCKNOWNR,26.8466937,80.946166
160,BALHARSHAH,19.8390022,79.3634517
161,PANDHARPUR,17.6745535,75.3237262
162,MANDASOR,24.076836,75.0692952
163,MADURAIJN,9.9203545,78.1102932
164,MUNABAO,25.7446275,70.2780362
165,MANMADJN,20.249736,74.438126
166,JAYNAGAR,26.5883988,86.1370148
167,ITWARI,21.1538784,79.1111018
168,MUZAFFARPURJN,26.1222744,85.3778841
169,MARWARJN,25.7227599,73.6094662
170,DELHISROHILLA,28.6854955,77.2909989
171,SHMATAVDKATRA,32.982884,74.93562
172,DIBRUGARH,27.4728327,94.9119621
173,SIRPURKAGAZNGR,19.355562,79.482983
174,BALLIA,25.7584381,84.1487319
175,BARABIL,22.1053397,85.3789642
176,PARTAPGARHJN,25.9129855,82.0013882
177,ANANDVIHARTRM,28.648809,77.315153
178,UDHNAJN,21.1712919,72.8513542
179,THANJAVUR,10.7869994,79.1378274
180,TATANAGARJN,22.7683344,86.2010774
181,PRAYAGGHAT,25.3067318,83.0104369
182,CHAMARAJANAGAR,11.9261471,76.9437312
183,LALKUAN,29.0676175,79.5181884
184,DHANBADJN,23.7909631,86.4298023
185,BULANDSHAHR,28.406963,77.8498292
186,GUNTAKALJN,15.1755264,77.3667171
187,SHRIGANGANAGAR,29.4018554,73.5594128
188,BANGALORECANT,12.993658,77.598056
189,SOMNATH,20.9060022,70.3843721
190,SEALDAH,22.5654725,88.3712796
191,RANCHI,23.3440997,85.309562
192,CHHINDWARAJN,22.0576214,78.9537488
193,AGRACANTT,27.1578152,77.9899244
194,SURAT,21.1702401,72.8310607
195,SECUNDERABADJN,17.3860619,78.4760981
196,COIMBATOREJN,10.9963653,76.9672218
197,RATNAGIRI,16.990215,73.3120233
198,FIROZPURCANT,30.913422,74.616591
199,ADILABAD,19.6640624,78.5320107
200,JHANSIJN,25.4452399,78.5526603
201,BHOJUDIHJN,23.642055,86.4468793
202,KAMAKHYA,26.1642713,91.7076637
203,DARJEELING,27.0360066,88.2626751
204,SULTANPUR,26.2647757,82.0727061
205,RAMNAGAR,29.3947643,79.1264997
206,REPALLE,16.0174248,80.8294747
207,AMRITSARJN,31.6328764,74.8673202
208,BHUBANESWAR,20.2960587,85.8245398
209,VALSAD,20.5992349,72.9342451
210,DIGHAFLAGSTN,21.623041,87.508036
211,BILASPURJN,22.0549643,82.1717175
212,GURUVAYUR,10.5952496,76.0362579
213,KANNUR,11.8744775,75.3703662
214,SINGRAULI,24.1992101,82.6645469
215,FAZILKA,30.4036478,74.0279621
216,DIVA,19.189043,73.042701
217,MANUGURU,17.9312067,80.8266197
218,GIRIDIH,24.1821391,86.2869507
219,HABIBGANJ,27.9169655,78.4418001
220,SAIPNILAYAM,17.4902266,77.8716302
221,KARAIKKUDIJN,10.067873,78.7924219
222,GORAKHPURJN,26.759521,83.38216
223,KARWAR,14.8184812,74.1416127
224,MYSOREJN,12.3166855,76.6453031
225,AZIMGANJJN,24.2295283,88.2598064
226,BHOPALJN,23.2676716,77.4140281
227,CHIRMIRI,23.1879502,82.354162
228,HNIZAMUDDIN,28.5948466,77.2491365
229,ALLAHABADCITY,25.4358011,81.846311
230,JODHPURJN,21.9066902,70.0312436
231,HUBLIJN,15.3500306,75.1491598
232,KOLLAMJN,8.8860201,76.5954167
233,PALITANA,21.5346305,71.8274846
234,MOKAMEHJN,25.3921946,85.9136833
235,MUMBAICENTRAL,18.9690247,72.8205292
236,BOLPURSNIKTN,22.583314,88.342859
237,JAMALPURJN,25.3151863,86.4930213
238,UNAHIMACHAL,31.4786195,76.275337
239,MEERUTCITY,28.9844618,77.7064137
240,GANDHIDHAMBG,23.0687895,70.1479992
241,GUNTURJN,16.3005205,80.4427351
242,COONOOR,11.3530022,76.7959095
243,SRINAGAR,34.1255413,74.9442585
244,DHARWAR,15.4589236,75.007808
245,MATHURAJN,27.4780687,77.6722239
246,CHENNAICENTRAL,13.1081292,80.183415
247,AURANGABAD,19.8761653,75.3433139
248,OKHA,22.4649185,69.0701995
249,TITLAGARH,20.28709,83.1466077
250,FAIZABADJN,26.7687511,82.1356625
251,VIKARABADJN,17.3368582,77.91005
252,DUMKA,24.2755858,87.2568512
253,GEVRAROAD,22.3492102,82.6461498
254,KOTDWARA,29.7524013,78.5269027
255,PURNAJN,19.1806578,77.0253208
256,TUTICORIN,8.7641661,78.1348361
257,SHALIMAR,34.152584,74.878639
258,BALAGHATJN,21.8116285,80.1998853
